epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24505.2,1.46014,4.49856,1.13261,0.58179,0.48902,0.49327,0.26648,1.51955,4.343,1.12835,0.0017823,0.0017823,0.0017823
43,25074.5,1.46766,4.51604,1.13429,0.58278,0.48985,0.49212,0.26672,1.5096,4.33669,1.12498,0.0017526,0.0017526,0.0017526
44,25666.9,1.4577,4.48971,1.13039,0.58893,0.4832,0.49153,0.26386,1.51821,4.33053,1.12858,0.0017229,0.0017229,0.0017229
45,26239.3,1.45199,4.4497,1.12783,0.58126,0.49011,0.49074,0.26395,1.51846,4.33476,1.12668,0.0016932,0.0016932,0.0016932
46,26829.4,1.45765,4.46442,1.1299,0.57551,0.49189,0.49062,0.26748,1.50592,4.31098,1.12403,0.0016635,0.0016635,0.0016635
47,27418.6,1.45708,4.46951,1.12809,0.5844,0.48901,0.49149,0.26743,1.513,4.32213,1.12465,0.0016338,0.0016338,0.0016338
48,27982.4,1.44783,4.41727,1.1248,0.5871,0.49185,0.4958,0.26749,1.51191,4.29047,1.12377,0.0016041,0.0016041,0.0016041
49,28560.2,1.44311,4.3779,1.12015,0.59245,0.49307,0.49695,0.26991,1.50606,4.29008,1.123,0.0015744,0.0015744,0.0015744
50,29134.2,1.43663,4.35044,1.11963,0.58597,0.49919,0.49413,0.26696,1.51821,4.30886,1.12467,0.0015447,0.0015447,0.0015447
51,29700.1,1.44061,4.38001,1.11769,0.58624,0.48945,0.49798,0.27259,1.48538,4.25545,1.11639,0.001515,0.001515,0.001515
52,30282.5,1.44355,4.36682,1.122,0.5868,0.49137,0.49895,0.27071,1.51316,4.28876,1.12403,0.0014853,0.0014853,0.0014853
53,30852.2,1.43722,4.3533,1.11846,0.58933,0.49424,0.50338,0.27357,1.50576,4.26795,1.12002,0.0014556,0.0014556,0.0014556
54,31431.9,1.42839,4.28336,1.11354,0.58487,0.49979,0.50149,0.27303,1.50499,4.26225,1.11958,0.0014259,0.0014259,0.0014259
55,32008.1,1.42754,4.29962,1.11271,0.58975,0.4962,0.5026,0.27307,1.51339,4.26302,1.1218,0.0013962,0.0013962,0.0013962
56,32579.5,1.42707,4.28298,1.11302,0.60103,0.49638,0.50479,0.27613,1.49827,4.24377,1.11672,0.0013665,0.0013665,0.0013665
57,33143.4,1.42832,4.27875,1.11142,0.58352,0.50326,0.50355,0.27718,1.49046,4.23216,1.1158,0.0013368,0.0013368,0.0013368
58,33711.3,1.42324,4.24828,1.11159,0.59877,0.49622,0.50393,0.2744,1.50055,4.23534,1.11848,0.0013071,0.0013071,0.0013071
59,34277.7,1.42195,4.22105,1.11179,0.58769,0.50434,0.5054,0.27805,1.49146,4.21121,1.11425,0.0012774,0.0012774,0.0012774
60,34844,1.42176,4.23195,1.11149,0.58457,0.50879,0.50658,0.27567,1.49354,4.22659,1.11497,0.0012477,0.0012477,0.0012477
61,35404.9,1.41138,4.17608,1.10567,0.58003,0.50661,0.50789,0.27865,1.48476,4.21456,1.11078,0.001218,0.001218,0.001218
62,35965.5,1.41683,4.2103,1.10973,0.58551,0.50495,0.50534,0.27652,1.49157,4.21654,1.11381,0.0011883,0.0011883,0.0011883
63,36531.9,1.41437,4.18342,1.10787,0.59008,0.49901,0.50618,0.27945,1.47375,4.19803,1.10912,0.0011586,0.0011586,0.0011586
64,37108,1.41203,4.16794,1.10482,0.59211,0.49727,0.50525,0.2788,1.48121,4.20952,1.11173,0.0011289,0.0011289,0.0011289
65,37673,1.41405,4.14982,1.1038,0.59062,0.50488,0.50933,0.28384,1.46523,4.1773,1.10566,0.0010992,0.0010992,0.0010992
66,38248.5,1.41232,4.15487,1.10431,0.58398,0.50797,0.50857,0.28106,1.47206,4.18835,1.10818,0.0010695,0.0010695,0.0010695
67,38803.6,1.40254,4.094,1.10104,0.59339,0.50453,0.51075,0.28416,1.46446,4.17013,1.10621,0.0010398,0.0010398,0.0010398
68,39371.3,1.39833,4.10719,1.10063,0.59318,0.50648,0.50938,0.28278,1.469,4.18054,1.10683,0.0010101,0.0010101,0.0010101
69,39943.9,1.40256,4.08793,1.09999,0.60369,0.49813,0.5105,0.28345,1.46588,4.18051,1.10608,0.0009804,0.0009804,0.0009804
70,40503.1,1.40205,4.07611,1.09854,0.5961,0.50464,0.50985,0.2826,1.4717,4.18603,1.10717,0.0009507,0.0009507,0.0009507
71,41069.7,1.40388,4.09378,1.09835,0.59614,0.50407,0.51225,0.28423,1.46295,4.15943,1.1033,0.000921,0.000921,0.000921
72,41624.4,1.39903,4.05981,1.09676,0.5993,0.50527,0.51087,0.28423,1.45771,4.16584,1.1019,0.0008913,0.0008913,0.0008913
73,42188.6,1.39195,4.02711,1.09502,0.60032,0.50387,0.51079,0.28303,1.46445,4.16859,1.10363,0.0008616,0.0008616,0.0008616
