epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18250.4,1.45556,4.50117,1.13315,0.58277,0.48408,0.48808,0.2649,1.5098,4.32258,1.12777,0.0017823,0.0017823,0.0017823
43,18688.7,1.46147,4.49746,1.13318,0.57702,0.48806,0.49301,0.26811,1.50641,4.30926,1.12592,0.0017526,0.0017526,0.0017526
44,19126.2,1.4514,4.47048,1.12941,0.59071,0.48437,0.49102,0.26459,1.51,4.30886,1.12639,0.0017229,0.0017229,0.0017229
45,19559.4,1.44326,4.41606,1.12526,0.57734,0.49154,0.49343,0.26917,1.50358,4.30863,1.12443,0.0016932,0.0016932,0.0016932
46,19995,1.4543,4.45118,1.12924,0.58518,0.48601,0.49097,0.26519,1.50882,4.2905,1.12494,0.0016635,0.0016635,0.0016635
47,20429.8,1.45085,4.43251,1.12684,0.59203,0.48498,0.49295,0.26823,1.50731,4.28666,1.1265,0.0016338,0.0016338,0.0016338
48,20863.8,1.4432,4.40563,1.12492,0.58982,0.48422,0.49335,0.2678,1.4972,4.28706,1.12064,0.0016041,0.0016041,0.0016041
49,21298.2,1.44066,4.38879,1.11995,0.58202,0.49016,0.49921,0.27414,1.47404,4.2356,1.11526,0.0015744,0.0015744,0.0015744
50,21732.2,1.43834,4.36521,1.12157,0.59657,0.49018,0.49652,0.27014,1.5087,4.27362,1.12551,0.0015447,0.0015447,0.0015447
51,22166.8,1.43638,4.37012,1.11693,0.58424,0.49835,0.50246,0.27617,1.47413,4.22223,1.11335,0.001515,0.001515,0.001515
52,22603.7,1.4374,4.34708,1.12152,0.58962,0.4941,0.50246,0.27521,1.48539,4.23753,1.11723,0.0014853,0.0014853,0.0014853
53,23042.6,1.43712,4.35882,1.11912,0.59763,0.49783,0.50594,0.27632,1.48988,4.24266,1.11706,0.0014556,0.0014556,0.0014556
54,23483,1.42929,4.28958,1.11651,0.58912,0.49874,0.5018,0.27462,1.48668,4.2208,1.11749,0.0014259,0.0014259,0.0014259
55,23921.4,1.42654,4.28994,1.11386,0.59356,0.50012,0.50411,0.27612,1.4849,4.21556,1.11497,0.0013962,0.0013962,0.0013962
56,24363.1,1.42573,4.28128,1.11375,0.59705,0.49729,0.50334,0.27722,1.47668,4.21217,1.11195,0.0013665,0.0013665,0.0013665
57,24798.3,1.42073,4.23864,1.11052,0.59779,0.49942,0.50725,0.28282,1.46037,4.17314,1.10811,0.0013368,0.0013368,0.0013368
58,25233.1,1.42197,4.25156,1.11267,0.59406,0.49823,0.50452,0.2778,1.46996,4.18232,1.11,0.0013071,0.0013071,0.0013071
59,25666.8,1.41895,4.21412,1.11207,0.59598,0.50301,0.51042,0.28194,1.47098,4.16894,1.11023,0.0012774,0.0012774,0.0012774
60,26101,1.41554,4.20943,1.11097,0.59395,0.50074,0.50625,0.27879,1.47365,4.18152,1.11152,0.0012477,0.0012477,0.0012477
61,26540.5,1.40912,4.17549,1.10749,0.60362,0.50195,0.50924,0.2808,1.45764,4.16761,1.10599,0.001218,0.001218,0.001218
62,26976,1.41173,4.19221,1.1094,0.60156,0.5008,0.50864,0.28217,1.46499,4.16111,1.10699,0.0011883,0.0011883,0.0011883
63,27414.4,1.40832,4.15555,1.10608,0.59884,0.50457,0.51223,0.28557,1.4516,4.14788,1.10307,0.0011586,0.0011586,0.0011586
64,27853.1,1.41063,4.15703,1.10542,0.60747,0.49772,0.51029,0.28243,1.46845,4.16066,1.10742,0.0011289,0.0011289,0.0011289
65,28289.3,1.41089,4.13476,1.10466,0.59438,0.50595,0.50911,0.28108,1.46378,4.15162,1.10646,0.0010992,0.0010992,0.0010992
66,28724.1,1.40843,4.13989,1.10497,0.59956,0.50831,0.51202,0.28393,1.46072,4.14298,1.10524,0.0010695,0.0010695,0.0010695
67,29160.7,1.40088,4.09447,1.10159,0.59125,0.51322,0.51273,0.28419,1.45759,4.14451,1.10396,0.0010398,0.0010398,0.0010398
68,29600.4,1.39565,4.10213,1.10184,0.59475,0.50687,0.51231,0.28497,1.45356,4.13872,1.10462,0.0010101,0.0010101,0.0010101
69,30038.8,1.39904,4.0739,1.10024,0.59998,0.50491,0.51121,0.28425,1.45153,4.13039,1.10225,0.0009804,0.0009804,0.0009804
70,30473.3,1.39937,4.06675,1.09873,0.60363,0.50634,0.51259,0.28485,1.45391,4.13248,1.10202,0.0009507,0.0009507,0.0009507
71,30907.1,1.39989,4.06354,1.09949,0.59916,0.50958,0.51253,0.28676,1.44558,4.12613,1.09995,0.000921,0.000921,0.000921
72,31343.3,1.39339,4.03562,1.09642,0.59585,0.51416,0.5131,0.28636,1.44375,4.12057,1.09904,0.0008913,0.0008913,0.0008913
73,31779.3,1.38957,4.02432,1.09602,0.59737,0.51081,0.51398,0.28674,1.44079,4.11785,1.09725,0.0008616,0.0008616,0.0008616
74,32214.7,1.39456,4.02567,1.09707,0.60051,0.51063,0.51462,0.28727,1.44406,4.1105,1.09796,0.0008319,0.0008319,0.0008319
75,32652.9,1.38969,4.00645,1.09465,0.59365,0.51452,0.51281,0.28663,1.44474,4.10599,1.09849,0.0008022,0.0008022,0.0008022
76,33086.6,1.39048,3.99911,1.09574,0.59894,0.50912,0.51442,0.28724,1.44486,4.11065,1.09821,0.0007725,0.0007725,0.0007725
77,33520.5,1.38835,3.99102,1.09389,0.60313,0.50408,0.5138,0.28747,1.4379,4.10979,1.09547,0.0007428,0.0007428,0.0007428
78,33955.3,1.38788,3.96811,1.0933,0.59959,0.51188,0.51537,0.28755,1.44402,4.11139,1.0969,0.0007131,0.0007131,0.0007131
79,34390.7,1.38255,3.93649,1.09001,0.59533,0.51179,0.51255,0.28751,1.43842,4.11435,1.0955,0.0006834,0.0006834,0.0006834
80,34826.3,1.37991,3.93767,1.09055,0.59862,0.5116,0.51263,0.28681,1.4385,4.11336,1.09603,0.0006537,0.0006537,0.0006537
81,35260.2,1.37568,3.90484,1.08876,0.60421,0.50737,0.516,0.28932,1.43815,4.10161,1.09554,0.000624,0.000624,0.000624
82,35692.8,1.37751,3.89607,1.08763,0.61142,0.50465,0.51469,0.28838,1.4398,4.10381,1.09585,0.0005943,0.0005943,0.0005943
83,36125.4,1.37578,3.90801,1.08863,0.60824,0.50857,0.51466,0.28756,1.4439,4.10401,1.09704,0.0005646,0.0005646,0.0005646
84,36558.2,1.37127,3.88047,1.0868,0.6172,0.50421,0.51583,0.28902,1.43609,4.10384,1.09444,0.0005349,0.0005349,0.0005349
85,36991.9,1.37254,3.88571,1.08754,0.61823,0.50772,0.51823,0.29007,1.43334,4.09099,1.09337,0.0005052,0.0005052,0.0005052
86,37425.3,1.37009,3.8624,1.08664,0.60372,0.5128,0.51589,0.28955,1.43499,4.09747,1.09415,0.0004755,0.0004755,0.0004755
87,37859.2,1.36325,3.83092,1.08336,0.61402,0.50211,0.51422,0.28825,1.43979,4.11165,1.0951,0.0004458,0.0004458,0.0004458
88,38295.6,1.36447,3.84111,1.08423,0.60614,0.51028,0.51543,0.28872,1.4391,4.10297,1.09481,0.0004161,0.0004161,0.0004161
89,38733.4,1.36514,3.82648,1.08486,0.60937,0.50738,0.51452,0.28895,1.43566,4.09908,1.09351,0.0003864,0.0003864,0.0003864
90,39173.1,1.36327,3.81616,1.08298,0.61004,0.50673,0.51486,0.28884,1.43526,4.10071,1.09343,0.0003567,0.0003567,0.0003567
91,39603.2,1.31373,3.46693,1.05863,0.61045,0.50307,0.5117,0.28749,1.43671,4.1182,1.0943,0.000327,0.000327,0.000327
92,40029.7,1.30849,3.42199,1.05554,0.60692,0.50655,0.51089,0.28814,1.42995,4.11747,1.09302,0.0002973,0.0002973,0.0002973
93,40455.1,1.30538,3.39676,1.05563,0.606,0.50519,0.51045,0.28776,1.42595,4.12023,1.09212,0.0002676,0.0002676,0.0002676
94,40881.9,1.30374,3.37248,1.05303,0.60488,0.50429,0.50964,0.28782,1.42143,4.12325,1.09065,0.0002379,0.0002379,0.0002379
95,41307.5,1.30222,3.35938,1.05344,0.60775,0.50221,0.50895,0.28803,1.42184,4.12743,1.09135,0.0002082,0.0002082,0.0002082
96,41734.2,1.30143,3.35209,1.05298,0.61121,0.50104,0.50894,0.28767,1.42286,4.13037,1.09191,0.0001785,0.0001785,0.0001785
97,42166.4,1.29489,3.33236,1.05142,0.60474,0.50212,0.50793,0.28796,1.42371,4.12871,1.09198,0.0001488,0.0001488,0.0001488
98,42592.1,1.29985,3.32412,1.05131,0.60386,0.50396,0.50789,0.2883,1.4226,4.12764,1.0915,0.0001191,0.0001191,0.0001191
99,43019.2,1.29455,3.3114,1.05007,0.60387,0.50413,0.508,0.28839,1.42106,4.12728,1.09103,8.94e-05,8.94e-05,8.94e-05
100,43451,1.29323,3.30705,1.04981,0.60516,0.50374,0.50869,0.28857,1.42042,4.12946,1.0911,5.97e-05,5.97e-05,5.97e-05
