epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.191,2.45392,10.5511,1.769,0.25222,0.20121,0.14504,0.06536,1.9635,7.5297,1.4473,0.000999382,0.000999382,0.0676867
2,1024.17,1.96209,7.9438,1.42858,0.37919,0.27151,0.23115,0.10189,1.91543,6.74062,1.40881,0.00197959,0.00197959,0.0353335
3,1532,1.85741,7.26336,1.3619,0.38651,0.31009,0.26951,0.12827,1.77581,6.14835,1.3092,0.00293999,0.00293999,0.0029606
4,2037.38,1.80797,6.82919,1.33008,0.4019,0.32774,0.28957,0.14257,1.74904,5.83798,1.29238,0.0029109,0.0029109,0.0029109
5,2543.33,1.75089,6.51505,1.30011,0.41175,0.34983,0.30677,0.14993,1.73255,5.8058,1.26655,0.0028812,0.0028812,0.0028812
6,3046.42,1.71607,6.27593,1.27982,0.43625,0.36505,0.33553,0.16933,1.68778,5.53014,1.24903,0.0028515,0.0028515,0.0028515
7,3547.34,1.69696,6.08317,1.26806,0.45329,0.3847,0.35013,0.17856,1.64249,5.38629,1.2271,0.0028218,0.0028218,0.0028218
8,4061.53,1.67077,5.96114,1.25415,0.46131,0.38483,0.35586,0.18384,1.61798,5.32331,1.20833,0.0027921,0.0027921,0.0027921
9,4565.04,1.65753,5.85436,1.24361,0.4746,0.39735,0.3719,0.19173,1.63084,5.22664,1.2088,0.0027624,0.0027624,0.0027624
10,5072.28,1.64313,5.73522,1.2339,0.48986,0.40469,0.38459,0.1969,1.62928,5.13062,1.20135,0.0027327,0.0027327,0.0027327
11,5573.42,1.62236,5.58983,1.2235,0.50095,0.42197,0.39881,0.20216,1.66657,5.13299,1.21438,0.002703,0.002703,0.002703
12,6077.05,1.61163,5.54394,1.21814,0.49443,0.42591,0.39887,0.20586,1.62166,5.03815,1.19418,0.0026733,0.0026733,0.0026733
13,6577.93,1.5988,5.46017,1.21301,0.50857,0.42305,0.40581,0.20772,1.63108,5.00089,1.19647,0.0026436,0.0026436,0.0026436
14,7085.88,1.59514,5.42598,1.20897,0.52059,0.43164,0.41386,0.21794,1.5686,4.8673,1.18222,0.0026139,0.0026139,0.0026139
15,7593.19,1.58948,5.34303,1.20016,0.52146,0.43215,0.42249,0.22273,1.56128,4.83484,1.1718,0.0025842,0.0025842,0.0025842
16,8096.57,1.58056,5.2926,1.1965,0.52865,0.43499,0.42553,0.22023,1.61414,4.8699,1.17693,0.0025545,0.0025545,0.0025545
17,8598.4,1.56806,5.2036,1.19187,0.52913,0.4356,0.42282,0.2231,1.57853,4.84613,1.17306,0.0025248,0.0025248,0.0025248
18,9104.14,1.56354,5.18206,1.18698,0.51547,0.42645,0.41571,0.2214,1.55971,4.83698,1.17283,0.0024951,0.0024951,0.0024951
19,9603.72,1.55762,5.16269,1.18604,0.5285,0.43805,0.42867,0.22613,1.5698,4.76207,1.16513,0.0024654,0.0024654,0.0024654
20,10111.7,1.5536,5.10663,1.18279,0.52364,0.45029,0.43617,0.2312,1.57409,4.71158,1.17084,0.0024357,0.0024357,0.0024357
21,10610.7,1.55045,5.0872,1.17804,0.53322,0.46116,0.45217,0.24203,1.52926,4.62091,1.1501,0.002406,0.002406,0.002406
22,11112,1.54361,5.03013,1.17658,0.55088,0.44458,0.4393,0.235,1.55831,4.70375,1.15967,0.0023763,0.0023763,0.0023763
23,11613,1.54014,4.99809,1.17073,0.53776,0.45788,0.4525,0.24248,1.55054,4.62809,1.15141,0.0023466,0.0023466,0.0023466
24,12119.8,1.52296,4.92261,1.16565,0.53775,0.46559,0.45462,0.24565,1.53644,4.60745,1.14624,0.0023169,0.0023169,0.0023169
25,12620,1.52775,4.94012,1.16797,0.52862,0.46023,0.44529,0.23835,1.55212,4.6241,1.15742,0.0022872,0.0022872,0.0022872
26,13128.6,1.53263,4.93801,1.16583,0.54309,0.46347,0.45975,0.24727,1.52557,4.5843,1.1446,0.0022575,0.0022575,0.0022575
27,13632.7,1.51912,4.85821,1.16302,0.55281,0.46814,0.45915,0.24304,1.56445,4.60019,1.15044,0.0022278,0.0022278,0.0022278
28,14139.2,1.511,4.81857,1.15829,0.54999,0.47071,0.46007,0.2447,1.54798,4.52811,1.14825,0.0021981,0.0021981,0.0021981
29,14644.1,1.51884,4.84127,1.16079,0.55535,0.4616,0.45787,0.24476,1.55509,4.56211,1.14905,0.0021684,0.0021684,0.0021684
30,15152.6,1.50967,4.76815,1.15303,0.55447,0.46873,0.46513,0.24834,1.54724,4.55917,1.14871,0.0021387,0.0021387,0.0021387
31,15654.6,1.49783,4.74501,1.15149,0.56209,0.46548,0.46161,0.24997,1.51249,4.48686,1.13384,0.002109,0.002109,0.002109
32,16156.1,1.49722,4.74477,1.15065,0.56308,0.47432,0.46837,0.25599,1.49727,4.47269,1.13037,0.0020793,0.0020793,0.0020793
33,16658.6,1.49031,4.67847,1.14886,0.56225,0.47165,0.47392,0.25688,1.51366,4.45265,1.13403,0.0020496,0.0020496,0.0020496
34,17163.2,1.4913,4.67808,1.14821,0.55954,0.47235,0.47199,0.26037,1.48235,4.4524,1.12621,0.0020199,0.0020199,0.0020199
35,17665.5,1.47914,4.60994,1.14227,0.57684,0.47894,0.48309,0.26695,1.49767,4.40784,1.12957,0.0019902,0.0019902,0.0019902
36,18172,1.48412,4.65684,1.14266,0.56326,0.47903,0.47656,0.26409,1.48168,4.40819,1.12405,0.0019605,0.0019605,0.0019605
37,18674.4,1.49267,4.66604,1.14897,0.5727,0.47126,0.47,0.26036,1.48058,4.41496,1.12528,0.0019308,0.0019308,0.0019308
38,19179.9,1.47873,4.60796,1.14018,0.56969,0.48313,0.47934,0.26624,1.46992,4.37695,1.11971,0.0019011,0.0019011,0.0019011
39,19677,1.47443,4.55962,1.13587,0.56294,0.47773,0.47946,0.26766,1.46469,4.37058,1.11683,0.0018714,0.0018714,0.0018714
40,20177.7,1.47121,4.56553,1.13488,0.57045,0.47897,0.47794,0.26423,1.4702,4.35326,1.11876,0.0018417,0.0018417,0.0018417
