group,max,mean,metric,min,n,std
A,0.61015,0.6035,precision,0.59772,3,0.0051116794370017395
A,0.50521,0.5022033333333333,recall,0.49816,3,0.0029700317993060312
A,0.51456,0.5111300000000001,map50,0.5087,3,0.00249464760370411
A,0.29089,0.2861333333333333,map50_95,0.2824,3,0.0035407563535995463
B,0.59701,0.5935766666666668,precision,0.5897,3,0.003000714729675078
B,0.51477,0.5107,recall,0.50538,3,0.003934031011570663
B,0.51381,0.5118033333333333,map50,0.50966,3,0.0016969842531843167
B,0.29498,0.29380333333333336,map50_95,0.29186,3,0.0013843008664625235
